,corp_name,nm,sexdstn,birth_ym,ofcps,rgist_exctv_at,fte_at,chrg_job,main_career,mxmm_shrholdr_relate,hffc_pd,tenure_end_on
0,주성엔지니어링,황철주,남,1959년 12월,대표이사/회장,등기임원,상근,경영전반 총괄,"인하대학교 명예공학박사
인하대학교 전자공학학사",최대주주 본인,26년,2022년 03월 26일
1,주성엔지니어링,안중동,남,1970년 12월,부사장,미등기임원,상근,Display 영업본부장,"동양대학교 전자공학과 학사
주성엔지니어링",-,22년,-
2,주성엔지니어링,정구현,남,1975년 06월,부사장,미등기임원,상근,Smart System 개발본부장,"한국기술교육대학교 생산기계공학과 학사
이노시티
에스에프에이
주성엔지니어링",-,4년 5개월,-
3,주성엔지니어링,이희태,남,1967년 05월,부사장,미등기임원,상근,반도체해외영업 담당,"중앙대학교 기계공학과 학사
삼성전자",-,1년 3개월,-
4,주성엔지니어링,이영진,남,1962년 01월,감사,등기임원,상근,감사,"계명대학교 정책개발대학원 석사
육군사관학교 졸업(이학사 학위)",-,19년 6개월,2019년 03월 25일
5,주성엔지니어링,권기청,남,1969년 08월,사외이사,등기임원,비상근,경영자문,"KAIST 물리학과 박사
광운대학교 전자바이오물리학과 교수
한국반도체디스플레이기술학회 기술이사",-,3년 9개월,2023년 03월 24일
6,주성엔지니어링,조동일,남,1958년 06월,사외이사,등기임원,비상근,경영자문,"매사추세츠공과대학교기계공학 박사 
서울대학교 특화연구센터 센터장
서울대학교 공과대학 전기정보공학부 교수",-,2년 9개월,2021년 03월 22일
7,주성엔지니어링,김헌도,남,1962년 12월,사장,등기임원,상근,Display 사업부 총괄,"한양대학교 신소재공학과 박사
SK하이닉스",-,16년,2021년 03월 22일
8,주성엔지니어링,노재성,남,1960년 11월,사장,등기임원,상근,반도체 사업부 총괄,"KAIST 재료공학과 박사
연세대학교
SK하이닉스
LG일렉트론",-,3년 2개월,2021년 03월 22일
9,주성엔지니어링,김근태,남,1963년 05월,부사장,미등기임원,상근,반도체마케팅 그룹장,"한양대 대학원 물리학 석사
SK하이닉스",-,9년 11개월,-
10,주성엔지니어링,김병철,남,1968년 09월,부사장,미등기임원,상근,제조기술본부장,"충주산업대학교 학사
SK하이닉스",-,15년 11개월,-
11,주성엔지니어링,김동석,남,1967년 02월,부사장,미등기임원,상근,Solar 영업본부장,"동국대학교 국어국문학과 학사
전자신문사",-,3년 7개월,-
