,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",롯데지주(주),최대주주,"2,121,660",26.54,"3,523,433",39.26,-
1,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",신동주,"특수
관계인",0,0.00,"27,445",3.54,-
2,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",롯데알미늄(주),"특수
관계인","708,870",8.87,"708,870",7.90,-
3,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",롯데알미늄(주),"특수
관계인","30,500",3.93,"30,500",3.93,-
4,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",(재)롯데장학재단,"특수
관계인","501,680",6.28,"501,680",5.59,-
5,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",(재)롯데장학재단,"특수
관계인","39,650",5.11,"39,650",5.11,-
6,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",(주)호텔롯데,"특수
관계인","473,450",5.92,"473,450",5.28,-
7,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",(주)호텔롯데,"특수
관계인","37,470",4.83,"37,470",4.83,-
8,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",(재)롯데문화재단,"특수
관계인","9,200",1.19,"9,200",1.19,-
9,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",주식회사 롯데홀딩스,"특수
관계인","109,830",1.37,"109,830",1.22,-
10,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",신유미,"특수
관계인",770,0.01,770,0.01,-
11,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",롯데지주(주),최대주주,"64,890",8.37,"64,890",8.37,-
12,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",이영구,"특수
관계인",930,0.01,930,0.01,-
13,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",이동진,"특수
관계인",100,0.00,200,0.00,-
14,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",정찬우,"특수
관계인",0,0.00,400,0.00,-
15,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",박윤기,"특수
관계인",0,0.00,300,0.00,-
16,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",심명섭,"특수
관계인",0,0.00,10,0.00,-
17,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",백광현,"특수
관계인",0,0.00,100,0.00,-
18,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",최홍훈,"특수
관계인",0,0.00,200,0.00,-
19,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",이경훤,"특수
관계인",0,0.00,100,0.00,-
20,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",신격호,"특수
관계인","104,080",1.30,0,0.00,-
21,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",신격호,"특수
관계인","109,780",14.16,0,0.00,-
22,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",신동빈,"특수
관계인",0,0.00,"43,367",0.48,-
23,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",신동빈,"특수
관계인","18,120",2.34,"63,862",8.24,-
24,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",신영자,"특수
관계인","212,380",2.66,"247,073",2.75,-
25,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",신영자,"특수
관계인","11,620",1.50,"48,213",6.22,-
26,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",신동주,"특수
관계인",0,0.00,"26,020",0.29,-
27,20210315000941,Y,00120571,롯데칠성음료,"의결권있는
주식",계,,"4,233,750",53.00,"5,636,733",62.80,-
28,20210315000941,Y,00120571,롯데칠성음료,"의결권없는
주식",계,,"321,230",41.40,"321,230",41.40,-
